fracDate Collected,Collector,Kind
1993.49863014,,cedar
,"Deam, C. C.",oak
1993.49863014,,cedar
1993.49863014,,cedar
1993.49863014,,cedar
1979.70136986,"Weaver, R. E., Nickerson, J.",hemlock
1981.62191781,,spruce
1981.62191781,,spruce
1981.70684932,"Koller, G. L. and Weaver, R. E.",cypress
1984.53825137,"Alexander, J. and Del Tredici, P.",cypress
1984.53825137,"Alexander, J. and Del Tredici, P.",cypress
,"Kellogg, J. H.",hawthorn
1987.76712329,"Nicholson, R.",fir
1989.88493151,"Nicholson, R., & Schwartz, M.",cedar
1989.88493151,"Nicholson, R., and Schwartz, M.",cedar
,"Kilpatrick, K.",sourwood
,"Kilpatrick, K.",sourwood
,"Palmer, E.J.",hawthorn
,"Deam, C.C.",oak
,"Palmer, E.J.",hawthorn
2009.49863014,,birch
2009.49863014,,birch
1991.74794521,Racz & Debreczy,walnut
,,hawthorn
1984.75956284,"Koller, G. L.",boxelder
,"Harbison, T. G.",beech
1984.53825137,"Alexander, J. and Del Tredici, P.",cypress
1984.53825137,"Alexander, J. and Del Tredici, P.",cypress
1984.53825137,"Alexander, J. and Del Tredici, P.",cypress
,"Schattenburg, J.H.",cypress
2006.2109589,"Kadis, I., McIntosh-Shapiro, J.",redcedar
2006.2109589,"Kadis, I., McIntosh-Shapiro, J.",redcedar
,,poplar
2000.5,,larch
2006.2109589,"Kadis, I., McIntosh-Shapiro, J.",pine
1991.74794521,Racz & Debreczy,oak
2009.49863014,,hemlock
1991.74794521,Racz & Debreczy,oak
,"Harbison, T. G.",oak
,"Palmer, E.J.",oak
1971.49863014,,spruce
1971.49863014,,spruce
,,
,"Voss, F.",chestnut
1971.49863014,,spruce
,,oak
,,oak
1989.83561644,"Nicholson, R. & Schwartz, M.",yew
,,hickory
,"Harbison, T. G.",chestnut
,"Palmer, E.J.",oak
,"Palmer, E.J.",oak
1976.5,"Fahnestock, G.R.; Mulligan, B.O.; Witt, J.A.",spruce
1976.5,"Fahnestock, G.R.; Mulligan, B.O.; Witt, J.A.",spruce
1985.78630137,"Koller, G.",oak
1985.78630137,"Koller, G.",oak
1985.78630137,"Koller, G. L.",oak
1985.78630137,"Koller, G. L.",oak
1976.5,"Fahnestock, G.R.; Mulligan, B.O.; Witt, J.A.",spruce
2000.5,,pine
,"Bush, B. F.",hawthorn
1985.78630137,"Koller, G. L.",oak
,"Del Tredici, P.",oak
1984.78142077,"Koller, G. L.",maple
1984.78142077,"Koller, G. L.",maple
1985.81369863,"Koller, G. L.",beech
1979.89863014,"Nicholson, R. G.",sequoia
,"Brown, H. T.",hawthorn
1985.81369863,"Koller, G.",fir
,"Dawson, L. Y.",birch
1963.70684932,"Fordham, A. J.",pine
,"Bush, B. F.",hawthorn
,"Weaver, R. E.",hornbeam
1985.81369863,"Koller, G. L.",maple
,,hawthorn
,"Palmer, E. J.",hawthorn
,"Palmer, E.J.",
,"Dilatush, T.",spruce
1979.93972603,"Koller, G. L. and Alexander, J. H.",redcedar
1979.93972603,"Koller, G. L. and Alexander, J. H.",buckeye
,"Koller, G. L., Alexander, J. H.",sycamore
1979.96986301,"Koller, G. L. and Alexander, J. H.",honeylocust
,"Hampton, W. C.",hornbeam
,"Koller, G. L., Alexander, J. H.",sycamore
,"Koller, G. L., Alexander, J. H.",sycamore
1979.96986301,"Koller, G. L. and Alexander, J. H.",honeylocust
,"Rogers, C.",oak
1979.96986301,"Koller, G. L., Alexander, J. H.",catalpa
,"Pringle, C. G.",maple
1979.94246575,"Koller, G. L., Alexander, J. H.",gum
1979.94246575,"Koller, G. L., Alexander, J. H.",gum
1979.94246575,"Koller, G. L., Alexander, J. H.",gum
,,fi
1979.94246575,"Koller, G. L., Alexander, J. H.",hornbeam
1979.94246575,"Koller, G. L., Alexander, J. H.",hornbeam
1979.06849315,"Koller, G. L. and Alexander, J. H.",birch
1979.96986301,"Koller, G. L., Alexander, J. H.",catalpa
,"Weaver, R. E.",buckeye
2004.92896175,"Clark, T.E.",
,,maple
2005.95890411,"Clark, T.E.",birch
,,oak
1906.49863014,"Harbison, T. G.",buckeye
1906.49863014,"Harbison, T. G.",buckeye
1906.49863014,"Harbison, T. G.",buckeye
2004.96721311,"Clark, T.E.",birch
2004.96721311,"Clark, T.E.",birch
1906.49863014,"Harbison, T. G.",buckeye
,"Engelmann, G.",oak
2004.96721311,"Clark, T.E.",birch
,"Dawson, J. T.",birch
,"Dawson, J. T.",birch
,"Dawson, J. T.",birch
,"Dawson, J. T.",birch
,"Dawson, J. T.",birch
,"Letterman, G.W.",hickory
,"Faxon, C. E., Dawson, J. T.",hickory
,"Letterman, G.W.",hickory
,"Letterman, G.W.",hickory
,"Letterman, G.W.",hickory
,"Faxon, C. E., Dawson, J. T.",hickory
,"Del Tredici, P.",butternut
,"Brown, G. M.",hickory
,"Letterman, G.W.",hickory
,"Letterman, G.W.",hickory
,"Letterman, G.W.",hickory
,"Letterman, G.W.",hickory
,"Faxon, C. E., Dawson, J. T.",hickory
1904.5,"Dawson, J. T.",cypress
,"Ridgway, R.",pecan
1904.5,"Dawson, J. T.",cypress
1981.70684932,"Koller, G. L. and Weaver, R. E.",cypress
,"Koller, G. L. and Weaver, R. E.",cypress
,"Koller, G. L. and Weaver, R. E.",cypress
,"Koller, G. L. and Weaver, R. E.",cypress
1948.5,"Chandler, H.",sequoia
,"Schmitz, A., Steinberg, G.",oak
1981.6739726,"Nicholson, R. G.",pine
,"Schmitz, A., Steinberg, G.",oak
,"Del Tredici, P.",maple
,,pine
,"Schmitz, A., Sternberg, G.",pecan
,"Schmitz, A., Sternberg, G.",pecan
1982.76164384,"Hay, I., Geary, S.",basswood
1985.80547945,"Nicholson, R.",fir
,,maple
,,maple
,"Del Tredici, P.",maple
1985.80821918,"Nicholson, R. G.",yellow-poplar
,"Cover, S.",cucumbertree
,"Harbison, T. G.",crabapple
,"Nicholson, R.",spruce
1981.69041096,"Nicholson, R.",fir
,"Lewandowski, Rick J",redbay
2003.10958904,"Del Tredici, P.",maple
2003.10958904,"Del Tredici, P.",maple
2003.10958904,"Del Tredici, P.",maple
,,coffeetree
1985.81369863,"Nicholson, R. C.",birch
,"Harbison, T. G.",crabapple
,"Laney, C. C.",
,,cedar
1985.8109589,"Nicholson, R.",fir
1985.81369863,"Nicholson, R. C.",birch
,"Palmer, E. J.",hawthorn
,,cedar
1981.70410959,"Nicholson, R. G.",walnut
,"Laney, C. C.",
,"Laney, C.C.",hawthorn
,,ash
,"Dawson, J. T.",hawthorn
,,yellow-poplar
1975.71506849,,
,"Baxter, S. N.",maidenhair-tree
1885.75068493,"Dawson, J. T.",beech
,"Baxter, S. N.",maidenhair-tree
1885.75068493,"Dawson, J. T.",beech
,"Peck, C. H.",hawthorn
1885.75068493,"Dawson, J. T.",beech
1885.75068493,"Dawson, J. T.",beech
1885.75068493,"Dawson, J. T.",beech
1885.75068493,"Dawson, J. T.",beech
,"Deam, C. C.",linden
1885.75068493,"Dawson, J. T.",beech
1885.75068493,"Dawson, J. T.",beech
1885.75068493,"Dawson, J. T.",beech
,"Deam, C. C.",linden
1981.72054795,"Nicholson, R. G.",fi
1981.72054795,"Nicholson, R. G.",fi
1981.72054795,"Nicholson, R. G.",fi
1981.72054795,"Nicholson, R.",cedar
,"Parry, C. C.",spruce
,"Parry, C. C.",spruce
,"Debreczy, Z.",fir
1981.72876712,"Nicholson, R.",hemlock
1886.00273973,"Sargent, C.S.",oak
,"Chase, V. H.",
,,cedar
,,hop-hornbeam
1981.73150685,"Nicholson, R.",cedar
,,hemlock
,,cherry
,,catalpa
,,birch
,"Palmer, E. J.",hackberry
,,hemlock
,,birch
1983.74520548,"Nicholson, R.",cypress
1983.74520548,"Nicholson, R.",cypress
,,pine
,"Sargent, C. S.",hawthorn
,"Chase, V. H.",
,"Parry, C. C.",spruce
1987.78356164,"Nicholson, R.",hemlock
1987.78356164,"Nicholson, R.",hemlock
,"Jack, J. G.",spruce
,"Jack, J. G.",spruce
,,pine
,,pine
,,pine
,,pine
,"Chase, V. H.",
,"Sargent, C. S.",hawthorn
2002.02739726,"Koller, G.",redcedar
2002.02739726,"Koller, G.",redcedar
1999.7890411,"Del Tredici, P.",oak
,"Jack, J. G.",spruce
,"Dawkins, W.",oak
,"Dawkins, W.",oak
,,pine
,"Dawson, J. T.",pine
,"Dawson, J. T.",pine
,"Dawson, J. T.",pine
,"Dawkins, W.",oak
,,spruce
,"Ridgway, R.",oak
,"Sargent, C. S.",oak
,"Dawkins, W.",oak
,"Dawkins, W.",oak
,"Harbison, T.G.",oak
,"Dawkins, W.",oak
,"Dawson, J. T.",sumac
1987.78356164,"Nicholson, R.",acacia
1987.78356164,"Nicholson, R.",acacia
,"Dawkins, W.",oak
,"Britton, N.L.",oak
,"Dawkins, W.",oak
,"Dawkins, W.",oak
,"Dawkins, W.",oak
,"Dawkins, W.",oak
,"Dawkins, W.",oak
,"Bush, B. F.",buckeye
,"Jack, J. G.",redcedar
1908.73497268,"Kellogg, J. H.",hawthorn
,"Jack, J. G.",redcedar
,"Watson, S.",cedar
,"Allen, O. D.",cedar
,"Allen, O. D.",cedar
,"Bush, B. F.",buckeye
1908.73497268,"Kellogg, J. H.",hawthorn
,,linden
,,
,"Jack, J. G.",redcedar
,"Slavin, B. H.",hawthorn
,"Palmer, E. J.",hawthorn
,"Watson, S.",cedar
1904.5,,birch
,"Palmer, E. J.",hawthorn
,,katsura
1958.04109589,"Eaton, R. J.",sycamore
1958.04109589,"Eaton, R. J.",sycamore
,"Letterman, G.W.",oak
,"Letterman, G.W.",oak
1912.5,"Slavin, B. H.",hickory
2007.49863014,"Mayer, M., Casagrande, R., Casagrande, L.",hemlock
2007.49863014,"Mayer, M., Casagrande, R., Casagrande, L.",hemlock
2007.49863014,,cherry
2007.49863014,,cherry
,"Letterman, G.W.",oak
,"Letterman, G.W.",oak
,,linden
,"Canby, W. M.",hawthorn
,"Palmer, E. J.",hackberry
2007.49863014,"Mayer, M., Casagrande, R., Casagrande, L.",hemlock
,"Palmer, E.J.",oak
2007.49863014,"Mayer, M., Casagrande, R., Casagrande, L.",hemlock
,"Kellogg, J. H.",hawthorn
2011.7890411,"Casagrande, R.",hemlock
2011.7890411,"Casagrande, R.",hemlock
2011.7890411,"Casagrande, R.",hemlock
,"Harbison, T. G.",
,,maple
,,maple
2011.7890411,"Casagrande, R.",hemlock
2006.2109589,"Kadis, I., McIntosh-Shapiro, J.",pine
2009.49863014,,pine
2009.49863014,,pine
2011.7890411,"Casagrande, R.",hemlock
2011.7890411,"Casagrande, R.",hemlock
,"Harbison, T. G.",
1991.74794521,Racz & Debreczy,oak
2011.7890411,"Casagrande, R.",hemlock
,"Engelmann, G.",oak
,"Engelmann, G.",oak
2011.7890411,"Casagrande, R.",hemlock
2011.7890411,"Casagrande, R.",hemlock
,"Bush, B. F.",
,,oak
,"Bush, B. F.",hawthorn
,,hawthorn
,,oak
1945.49863014,"Abbott, F. L.",hemlock
,,oak
2011.7890411,"Casagrande, R.",hemlock
,,birch
,,oak
,,oak
,"Deam, C. C.",basswood
,"Jack, J.G.",oak
1985.63013699,"Koller, G. L.",maple
1985.63013699,"Koller, G. L.",maple
1971.49863014,,spruce
1990.57534247,"Windham, M.",dogwood
,,
,,pignut
,"Faxon, C.E.",pignut
,"Faxon, C.E.",pignut
,"Faxon, C.E.",pignut
,"MacPhail, J.",pine
,"Jack, J.G.",oak
,"Jack, J.G.",oak
1971.70684932,,fir
2005.4109589,"Kadis, I.",maple
,,
,"Letterman, G.W.",hickory
,"Sargent, C. S.",pignut
1883.49863014,"Dawson, J.T., Faxon, C.E.",pignut
,,
,,beech
,"Faxon, C.E.",pignut
,"Faxon, C.E.",pignut
,,oak
,"MacPhail, J.",pine
,"Jack, J. G.",oak
1989.88493151,"Nicholson, R., & Schwartz, M.",yew
2005.4109589,"Kadis, I.",maple
2005.4109589,"Kadis, I.",maple
,"Palmer, E. J.",chinquapin
,"Del Tredici, P.",basswood
2008.32240437,"Dosmann, M., Dosmann, B., Dosmann, D.",hickory
1985.78630137,"Koller, G.",oak
,"Palmer, E. J.",silverbell
,"Deam, C.C.",honeylocust
,,cedar
,"Dawson, J.T.",tupelo
1901.49863014,"Bush, B. F.",hawthorn
,"Slavin, B. H.",plum
,"Slavin, B. M.",
,"Palmer, E. J.",plum
,"Parry, C. C.",spruce
,"Bush, B. F.",hawthorn
,"Mann, C.",oak
,"Reserchon, J.",hawthorn
1995.49863014,,chinquapin
,"Nicholson, R.",magnolia
,"Nicholson, R.",magnolia
,"Hill, P.",
,"Pringle, G.S.",oak
,"Dawson, L. Y.",birch
,"Dawson, L. Y.",birch
1950.1260274,"Sax, K.",maple
,Richard Olsen,catalpa
,"Slavin, B. H.",hawthorn
,,oak
,,oak
1988.00273224,"Phipps, J. B.",hawthorn
1985.81369863,"Koller, G. L.",birch
,"Hill, P.",
2013.75616438,"Dosmann, M., Damery, J.",boxelder
2013.75616438,"Dosmann, M., Damery, J.",boxelder
,,beech
2009.21643836,"Carstens, D., Carstens, J.",coffeetree
1984.62295082,"Michener, D.",pine
,"Hamilton, O.",pine
,,hickory
2009.09041096,"Carstens, J., Straub, A., Straub, B.",coffeetree
,,hackberry
2013.75616438,"Dosmann, M., Damery, J.",boxelder
2013.75616438,"Dosmann, M., Damery, J.",boxelder
,,cypress
,"Palmer, E. J.",pine
1979.93972603,"Koller, G. L. and Alexander, J. H.",redcedar
,"Hampton, W. C.",buckeye
,,maple
,,beech
,"Sargent, C. S.",
1992.2704918,"Turkington, K.",
2000.43989071,,juniper
2010.13424658,"Carstens, J., Jackson, J., Schmitz, A.",coffeetree
2010.13424658,"Carstens, J., Jackson, J., Schmitz, A.",coffeetree
,,hickory
2000.43989071,,juniper
2009.21643836,"Carstens, D., Carstens, J.",coffeetree
1987.77260274,"Nicholson, R.",
2009.13424658,"Schmitz, A.",coffeetree
,"Schulenberg, Raymond F.",hickory
2009.13424658,"Schmitz, A.",coffeetree
,,hickory
2008.09289617,"Carstens, J., Schmitz, A.",coffeetree
2009.09041096,"Carstens, J., Straub, A., Straub, B.",coffeetree
2009.09041096,"Carstens, J., Straub, A., Straub, B.",coffeetree
,,hickory
,"Sargent, C. S.",hawthorn
,,cypress
1996.5,"Di Gregorio, M.",
1996.5,"Di Gregorio, M.",
2000.00273224,"Winter, Sylvia",oak
2000.00273224,"Winter, Sylvia",oak
2000.80874317,"Schmitz, A.",oak
,"Waters, G.",cedar
1979.96986301,"Koller, G. L. and Alexander, J. H.",honeylocust
,,cherry
,"Curtiss, A.H.",coffeetree
,,cedar
,"Sargent, C. S.",hawthorn
2011.70684932,"Carstens, J., Dosmann, M., Schmitz, A.",hemlock
2011.70684932,"Carstens, J., Dosmann, M., Schmitz, A.",hemlock
2011.70684932,"Carstens, J., Dosmann, M., Schmitz, A.",hemlock
,"Sargent, C. S.",birch
,"Sargent, C. S.",hawthorn
1998.83561644,"Del Tredici, P.",butternut
,"Sargent, C. S.",hawthorn
,"Deam, C. C.",ash
2000.68852459,"Mcniel, R.",magnolia
,"Palmer, E.J.",
1984.78688525,"Hannan, L.L.",birch
1979.96986301,"Koller, G. L., Alexander, J. H.",catalpa
1979.96986301,"Koller, G. L., Alexander, J. H.",catalpa
1918.97808219,"Jack, J. G.",birch
,,oak
,,hawthorn
1979.29315068,"Weaver, R. E.",linden
,"Hamilton, O.",hemlock
,"Weaver, R. E.",buckeye
,,ash
,"Parry, Dr. C. C.",fir
,,cherry
1979.94246575,"Koller, G. L., Alexander, J. H.",hornbeam
1979.06849315,"Koller, G. L. and Alexander, J. H.",birch
1979.06849315,"Koller, G. L. and Alexander, J. H.",birch
2011.70684932,"Carstens, J., Dosmann, M., Schmitz, A.",hemlock
2011.70684932,"Carstens, J., Dosmann, M., Schmitz, A.",hemlock
2011.70684932,"Carstens, J., Dosmann, M., Schmitz, A.",hemlock
2011.70958904,"Carstens, J., Dosmann, M., Schmitz, A.",hemlock
2011.70958904,"Carstens, J., Dosmann, M., Schmitz, A.",hemlock
2011.70958904,"Carstens, J., Dosmann, M., Schmitz, A.",hemlock
2011.70684932,"Carstens, J., Dosmann, M., Schmitz, A.",hemlock
,,oak
,"Hamilton, O.",hemlock
2011.70958904,"Carstens, J., Dosmann, M., Schmitz, A.",hemlock
,,cypress
,,cypress
,"Deam, C. C.",oak
,,cypress
,,cypress
1883.7890411,"Dawson, J. T.",maple
,,hackberry
,,pine
,,cedar
2005.95890411,"Clark, T.E.",birch
2005.95890411,"Clark, T.E.",birch
2012.80874317,"Dosmann, M.S., Aiello, A.S.",oak
1913.49863014,"Harbison, T. G.",chestnut
,"Jacobs, D.",oak
,"Trelease, W.",oak
2012.80874317,"Dosmann, M.S., Aiello, A.S., Chambers, B.",oak
2012.80874317,"Dosmann, M.S., Aiello, A.S., Chambers, B.",oak
,"Dawson, J. T.",hawthorn
2012.81147541,"Dosmann, M.S., Aiello, A.S.",oak
,,elm
,,tupelo
,,tupelo
,,tupelo
1953.49863014,"Wood, C. E.",locust
,,
,,oak
,,oak
1973.49863014,"Del Tredici, P.",maple
,,cedar
2008.72131148,"Port, K., D. and D. Port, J. Port, L. Wolf",fir
,"Jack, J. G.",
,"Jack, J. G.",
1995.32876712,"Spongberg, S.A. & Bell, A.C.",redbud
2012.80874317,"Dosmann, M.S., Aiello, A.S., Chambers, B.",oak
